,user,description,followers,location,text
1755,dloka_11,modiji,7,srikalahasti,@narendramodi Good ji 🙏🙏🙏
1756,warisa_ali,,0,,@YourFather_O @KumarRitikRaj3 @Salman11803201 @VamosBangalore @frontline000 @narendramodi @ImranKhanPTI Sorry we ar… https://t.co/y6bKz2JW6t
1757,YogeshUP_,"Provincial Civil Service, Uttar Pradesh, Reader, Master Chef, History Buff, Observer, Nation First. Tweets are personal.",20,,@narendramodi Wonderful sir. This century belong to us. Good relations with neighbours is a prerequisite to become world power. #NewIndia
1758,namoArunima,"ॐ 
अच्चुतम केशवं कृष्ण दामोदरं,
राम नारायणं जानकी बल्लभम।

कौन कहता हे भगवान आते नहीं,
तुम मीरा के जैसे बुलाते नहीं।
🙏🙏(RTs not endorsement)#NorthEast4Modi",10301,India 🇮🇳🇮🇳🇮🇳🇮🇳,@ParasKGhelaanii @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @JPNadda @OfficeofJPNadda… https://t.co/NdSJl915lw
1759,MDANEESQAMAR,"Journalist ! Photographer !! Social Political Activist With Principle Of Secularism, Equality, Humanity & Justice.",54,New Delhi  नई दिल्ली.,"“#VaccineMaitri” to overcome Covid! 

1.2 million doses of Made in India Covid vaccines as grant from India to Bang… https://t.co/UM1dWWXjix"
1760,patelravi11,,19,,@vanandca @BeenaPP1 @ShashiTharoor @narendramodi And what’s a PIDI?  You keep calling me that but I have no idea what it means.
1761,RameshDhaka2411,"ऊं नमः शिवाय||










||Navodayan
































Dream big||











||Traveling",63,"Rajasthan, India",@PanditViru3 @kavishala @IGNTU @narendramodi @premsukhips @Lawyer_Kalpana @GangaRa04839828 @whokumargaurav… https://t.co/gfGX5r2bwV
1762,subhashchandrak,,1178,"Ghaziabad, UP",@ShashiTharoor @narendramodi then why make mistakes
1763,_Jasvinder_,"🎖SEPTEMBER BORN
Advisor:#Economy,public transport PROUD_Researcher & author of_Role of #tetanus vaccine in#COVID19 deaths..A CURE
to see, click on website link",1916,India,"@news24tvchannel @angrishvishal @narendramodi MESSAGE is bad ... which is being reflected by @PMOIndia 
#KISSANbill"
1764,Victim221g,NULL  ..nothing is here ..,5,,"@dmayodhya @anujias09 @CMOfficeUP @UPGovt @myogiadityanath @narendramodi living in USA , need one urgent property e… https://t.co/SdQlvmFCJE"
1765,Vishwaj31285827,,0,,"@narendramodi This is just for Bengal election..BJP is scared of loosing so they are tempering EVM, as reported by… https://t.co/7PGCoPR8IJ"
1766,MountySharma,mounty,1,,@JPNadda @BJP4Delhi @narendramodi Jp.nadda. happy holi
1767,kpkeyur123,,21,India,@ShashiTharoor @narendramodi But people have retweeted tweet more time than this one. Thas how fake news are being spread.
1768,alive_till,,0,,@_ADITICHOURASIA @sushantfans2 @narendramodi Unknown Truth https://t.co/xkL9vcE4JU
